nid	mid	fields
1372991753898	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card079.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card080.jpg" />
1372991761220	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card081.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card082.jpg" />
1372991788403	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card087.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card088.jpg" />
1372991795090	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card089.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card090.jpg" />
1372991806587	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card091.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card092.jpg" />
1372991813635	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card093.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card094.jpg" />
1372991821260	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card095.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card096.jpg" />
1372991828012	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card097.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card098.jpg" />
1372991844706	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card101.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card102.jpg" />
1372991852619	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card103.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card104.jpg" />
1372991859731	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card105.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card106.jpg" />
1372991866987	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card107.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card108.jpg" />
1372991879979	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card111.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card112.jpg" />
1372991889092	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card113.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card114.jpg" />
1372991896188	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card115.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card116.jpg" />
1372991904171	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card117.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card118.jpg" />
1372991911852	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card119.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card120.jpg" />
1372991920908	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card121.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card122.jpg" />
1372991933580	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card123.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card124.jpg" />
1372991942260	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card125.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card126.jpg" />
1372991965892	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card131.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card132.jpg" />
1372991973829	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card133.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card134.jpg" />
1372991990950	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card137.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card138.jpg" />
1372991998684	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card139.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card140.jpg" />
1373193936994	1370967993347	<img src="card994.jpg" />	<img src="card995.jpg" />
1373194033852	1370967993347	<img src="card994.jpg" />	<img src="card995.jpg" />
1372991243197	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card001.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card002.jpg" />
1372991378385	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card007.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card008.jpg" />
1372991388696	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card009.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card010.jpg" />
1372991402817	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card011.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card012.jpg" />
1372991417168	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card013.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card014.jpg" />
1372991427086	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card015.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card016.jpg" />
1372991461240	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card021.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card022.jpg" />
1372992616795	1370967993347	<img src="zapominaiki_ru_matematika_02_algebra_card649.jpg" />	<img src="zapominaiki_ru_matematika_02_algebra_card650.jpg" />
1372992624212	1370967993347	<img src="zapominaiki_ru_matematika_02_algebra_card651.jpg" />	<img src="zapominaiki_ru_matematika_02_algebra_card652.jpg" />
1372992631347	1370967993347	<img src="zapominaiki_ru_matematika_02_algebra_card653.jpg" />	<img src="zapominaiki_ru_matematika_02_algebra_card654.jpg" />
1372992644530	1370967993347	<img src="zapominaiki_ru_matematika_02_algebra_card657.jpg" />	<img src="zapominaiki_ru_matematika_02_algebra_card658.jpg" />
1373193989214	1370967993347	<img src="card994.jpg" />	<img src="card995.jpg" />
1372992421681	1370967993347	<img src="zapominaiki_ru_matematika_02_algebra_card151.jpg" />	<img src="zapominaiki_ru_matematika_02_algebra_card152.jpg" />
1372992430450	1370967993347	<img src="zapominaiki_ru_matematika_02_algebra_card153.jpg" />	<img src="zapominaiki_ru_matematika_02_algebra_card154.jpg" />
1448890984128	1448816860355	Основные типы доказательств	<div>1. Прямое (direct &nbsp;proof)</div><div><br /></div><div>2. От противного (contradiction)</div><div><br /></div>3. Рассмотрим все случаи (by cases)<div><br /></div><div>Пример: докажем отдельно для четных и нечетных n.</div><div><br /></div><div>4. Индукция (induction)</div>
